0.01, 0.01555, 0.05664, 0.01593, 0.07761, 0.01614, 0.7425
0.02, 0.008555, 0.06, 0.008316, 0.06002, 0.008253, 0.238
0.05, 0.008816, 0.05764, 0.009135, 0.06549, 0.009047, 0.6192
0.1, 0.01115, 0.05581, 0.01128, 0.06856, 0.01117, 0.2604
0.2, 0.01164, 0.08585, 0.01181, 0.08016, 0.01195, 1.431
0.5, 0.009911, 0.07715, 0.01002, 0.06481, 0.01003, 0.3387
1.0, 0.00855, 0.05622, 0.008904, 0.06683, 0.008821, 0.3156
2.0, 0.00638, 0.05915, 0.006142, 0.04665, 0.00604, 0.1863
5.0, 0.00176, 0.07785, 0.001843, 0.04506, 0.001776, 0.07515
10.0, 0.001795, 0.07849, 0.001732, 0.04655, 0.001745, 0.1115
20.0, 0.002099, 0.07694, 0.001997, 0.03759, 0.001993, 0.05864
50.0, 0.001484, 0.06988, 0.001627, 0.04223, 0.001521, 0.08967
100.0, 0.001236, 0.07027, 0.001273, 0.03872, 0.001192, 0.04874
200.0, 0.00121, 0.08808, 0.001286, 0.0379, 0.001203, 0.07149
500.0, 0.001153, 0.0816, 0.001267, 0.03931, 0.001128, 0.06756
