0.01, 0.06216, 0.3675, 0.06227, 0.3228, 0.06317, 1.42, 0.06225, 0.3172 
0.02, 0.06094, 0.3716, 0.06279, 0.3331, 0.0639, 1.463, 0.06281, 0.3273 
0.05, 0.07205, 0.4037, 0.07219, 0.3355, 0.07343, 1.606, 0.07219, 0.3159 
0.1, 0.06477, 0.377, 0.06437, 0.3387, 0.06555, 1.521, 0.06436, 0.3195 
0.2, 0.06203, 0.3701, 0.05981, 0.3335, 0.0609, 1.428, 0.0598, 0.3186 
0.5, 0.05896, 0.3331, 0.05763, 0.3338, 0.05848, 1.35, 0.05763, 0.3196 
1.0, 0.04696, 0.3199, 0.04263, 0.2894, 0.04327, 1.046, 0.04263, 0.2866 
2.0, 0.0313, 0.2999, 0.02693, 0.2397, 0.02702, 0.7101, 0.02693, 0.2203 
5.0, 0.02279, 0.2871, 0.01688, 0.188, 0.01682, 0.4097, 0.01686, 0.1627 
10.0, 0.02081, 0.2865, 0.01343, 0.1545, 0.01338, 0.2686, 0.01342, 0.1285 
20.0, 0.01722, 0.2876, 0.01153, 0.1476, 0.01151, 0.1809, 0.01155, 0.1192 
50.0, 0.01685, 0.2773, 0.01017, 0.1396, 0.01006, 0.1333, 0.01014, 0.1021 
100.0, 0.01752, 0.2684, 0.01061, 0.1489, 0.01058, 0.1273, 0.01061, 0.1058 
200.0, 0.01726, 0.2728, 0.01061, 0.1402, 0.01052, 0.1333, 0.01059, 0.1014 
500.0, 0.01759, 0.2667, 0.01019, 0.1385, 0.01011, 0.1177, 0.01018, 0.09331 
